date,new_cases
3/1/2020,2
3/2/2020,3
3/3/2020,9
3/4/2020,13
3/5/2020,3
3/6/2020,5
3/7/2020,3
3/8/2020,13
3/9/2020,15
3/10/2020,16
3/11/2020,21
3/12/2020,0
3/13/2020,72
3/14/2020,50
3/15/2020,47
3/16/2020,80
3/17/2020,75
3/18/2020,116
3/19/2020,113
3/20/2020,110
3/21/2020,280
3/22/2020,478
3/23/2020,133
3/24/2020,362
3/25/2020,320
3/26/2020,446
3/27/2020,333
3/28/2020,497
3/29/2020,344
3/30/2020,377
3/31/2020,198
4/1/2020,303
4/2/2020,254
4/3/2020,214
4/4/2020,220
4/5/2020,137
4/6/2020,110
4/7/2020,98
4/8/2020,115
4/9/2020,98
4/10/2020,107
4/11/2020,88
4/12/2020,12
4/13/2020,36
4/14/2020,64
4/15/2020,25
4/16/2020,22
4/17/2020,60
4/18/2020,46
4/19/2020,42
4/20/2020,13
4/21/2020,22
4/22/2020,7
4/23/2020,10
4/24/2020,15
4/25/2020,17
4/26/2020,20
4/27/2020,7
4/28/2020,23
4/29/2020,8
4/30/2020,14
5/1/2020,12
5/2/2020,21
5/3/2020,23
5/4/2020,25
5/5/2020,28
5/6/2020,19
5/7/2020,19
5/8/2020,5
5/9/2020,21
5/10/2020,9
5/11/2020,22
5/12/2020,10
5/13/2020,9
5/14/2020,30
5/15/2020,16
5/16/2020,9
5/17/2020,10
5/18/2020,14
5/19/2020,4
5/20/2020,9
5/21/2020,14
5/22/2020,4
5/23/2020,15
5/24/2020,0
5/25/2020,12
5/26/2020,13
5/27/2020,11
5/28/2020,15
5/29/2020,19
5/30/2020,8
5/31/2020,10
6/1/2020,19
6/2/2020,8
6/3/2020,11
6/4/2020,7
6/5/2020,5
6/6/2020,7
6/7/2020,6
6/8/2020,2
6/9/2020,7
6/10/2020,11
6/11/2020,4
6/12/2020,5
6/13/2020,26
6/14/2020,15
6/15/2020,12
6/16/2020,23
6/17/2020,21
6/18/2020,18
6/19/2020,2
6/20/2020,50
6/21/2020,13
6/22/2020,18
6/23/2020,29
6/24/2020,37
6/25/2020,37
6/26/2020,6
6/27/2020,85
6/28/2020,78
6/29/2020,70
6/30/2020,86
7/1/2020,81
7/2/2020,65
7/3/2020,194
7/4/2020,183
7/5/2020,140
7/6/2020,172
7/7/2020,131
7/8/2020,170
7/9/2020,318
7/10/2020,179
7/11/2020,244
7/12/2020,183
7/13/2020,271
7/14/2020,236
7/15/2020,323
7/16/2020,423
7/17/2020,208
7/18/2020,361
7/19/2020,267
7/20/2020,359
7/21/2020,466
7/22/2020,408
7/23/2020,293
7/24/2020,355
7/25/2020,453
7/26/2020,532
7/27/2020,368
7/28/2020,279
7/29/2020,716
7/30/2020,605
7/31/2020,377
8/1/2020,615
8/2/2020,423
8/3/2020,412
8/4/2020,715
8/5/2020,445
8/6/2020,382
8/7/2020,426
8/8/2020,386
8/9/2020,313
8/10/2020,316
8/11/2020,414
8/12/2020,231
8/13/2020,384
8/14/2020,293
8/15/2020,252
8/16/2020,271
8/17/2020,215
8/18/2020,216
8/19/2020,247
8/20/2020,171
8/21/2020,195
8/22/2020,209
8/23/2020,104
8/24/2020,138
8/25/2020,151
8/26/2020,118
8/27/2020,126
8/28/2020,99
8/29/2020,123
8/30/2020,76
8/31/2020,73
9/1/2020,104
9/2/2020,126
9/3/2020,87
9/4/2020,71
9/5/2020,71
9/6/2020,43
9/7/2020,52
9/8/2020,92
9/9/2020,59
9/10/2020,40
9/11/2020,43
9/12/2020,44
9/13/2020,41
9/14/2020,47
9/15/2020,39
9/16/2020,35
9/17/2020,48
9/18/2020,24
9/19/2020,13
9/20/2020,14
9/21/2020,30
9/22/2020,30
9/23/2020,8
9/24/2020,20
9/25/2020,16
9/26/2020,24
9/27/2020,4
9/28/2020,11
9/29/2020,23
9/30/2020,18
10/1/2020,13
10/2/2020,12
10/3/2020,14
10/4/2020,13
10/5/2020,25
10/6/2020,8
10/7/2020,25
10/8/2020,20
10/9/2020,18
10/10/2020,19
10/11/2020,22
10/12/2020,25
10/13/2020,27
10/14/2020,20
10/15/2020,14
10/16/2020,7
10/17/2020,12
10/18/2020,9
10/19/2020,6
10/20/2020,38
10/21/2020,15
10/22/2020,18
10/23/2020,19
10/24/2020,18
10/25/2020,12
10/26/2020,14
10/27/2020,14
10/28/2020,12
10/29/2020,14
10/30/2020,6
10/31/2020,10
11/1/2020,6
11/2/2020,9
11/3/2020,12
11/4/2020,8
11/5/2020,14
11/6/2020,8
11/7/2020,6
11/8/2020,7
11/9/2020,4
11/10/2020,2
11/11/2020,4
11/12/2020,1
11/13/2020,6
11/14/2020,29
11/15/2020,38
11/16/2020,9
11/17/2020,19
11/18/2020,8
11/19/2020,7
11/20/2020,14
11/21/2020,15
11/22/2020,13
11/23/2020,9
11/24/2020,10
11/25/2020,12
11/26/2020,8
11/27/2020,13
11/28/2020,6
11/29/2020,10
11/30/2020,10
12/1/2020,11
12/2/2020,16
12/3/2020,10
12/4/2020,7
12/5/2020,9
12/6/2020,7
12/7/2020,15
12/8/2020,6
12/9/2020,7
12/10/2020,11
12/11/2020,14
12/12/2020,5
12/13/2020,7
12/14/2020,11
12/15/2020,12
12/16/2020,12
12/17/2020,21
12/18/2020,33
12/19/2020,42
12/20/2020,30
12/21/2020,21
12/22/2020,18
12/23/2020,25
12/24/2020,12
12/25/2020,23
12/26/2020,11
12/27/2020,29
12/28/2020,12
12/29/2020,32
12/30/2020,24
12/31/2020,20
